Nombre del Artículo,Descripción,Precio,Stock
Camiseta de Algodón,"Camiseta de manga corta, 100% algodón.",19.99,50
Zapatos Deportivos,"Zapatos deportivos para correr, tallas disponibles de 36 a 45.",79.95,30
Teléfono Inteligente,"Teléfono inteligente con pantalla HD de 6 pulgadas y cámara de alta resolución.",299.99,15
Portátil HP,"Portátil HP de última generación con procesador Core i7 y SSD de 512 GB.",899.00,10
Libro "El Gran Gatsby","Novela clásica de F. Scott Fitzgerald sobre la alta sociedad en los años 20.",12.50,100
Cámara Réflex Nikon,"Cámara réflex digital Nikon con lente zoom de 18-55 mm.",699.99,5
Mesa de Comedor,"Mesa de comedor de madera maciza con capacidad para 6 personas.",299.95,20
Pinturas al Óleo,"Conjunto de 5 pinturas al óleo en lienzo, arte moderno.",129.00,25
Auriculares Inalámbricos,"Auriculares inalámbricos con cancelación de ruido y calidad de sonido premium.",149.99,40
Bicicleta de Montaña,"Bicicleta de montaña de aluminio con frenos de disco, tallas disponibles de S a XL.",549.00,8
Silla de Oficina,"Silla ergonómica de oficina con respaldo ajustable y soporte lumbar.",149.95,15
Smartwatch,"Smartwatch resistente al agua con monitor de frecuencia cardíaca y seguimiento de actividad.",79.99,30
Set de Herramientas,"Set de herramientas de 100 piezas en maletín de almacenamiento.",49.95,10
Vestido de Noche,"Elegante vestido de noche largo con encaje y pedrería.",199.00,5
Impresora Láser,"Impresora láser a color de alta velocidad para uso empresarial.",349.99,12
Gafas de Sol,"Gafas de sol polarizadas con montura de acetato y lentes anti-rayas.",89.95,20
Robot Aspirador,"Robot aspirador inteligente con navegación láser y control de voz.",299.00,8
Mochila Resistente al Agua,"Mochila resistente al agua con compartimento para laptop y puerto de carga USB.",59.99,25
Collar de Diamantes,"Collar de diamantes con colgante de oro blanco de 14 quilates.",1999.00,3
Sofá Modular,"Sofá modular con asientos reclinables y tapizado de cuero genuino.",1199.00,7
Juego de Ollas y Sartenes,"Juego de ollas y sartenes antiadherentes de alta calidad, 10 piezas.",149.95,15
Teclado Mecánico RGB,"Teclado mecánico para juegos con retroiluminación RGB personalizable.",99.99,50
Reloj de Pared Moderno,"Reloj de pared moderno con diseño minimalista y movimiento silencioso.",39.95,30
Planta de Interior,"Planta de interior resistente y fácil de cuidar, con maceta de cerámica.",29.99,40
Máquina de Café Espresso,"Máquina de café espresso automática con molinillo integrado.",399.00,5
Batería Externa,"Batería externa de alta capacidad para cargar dispositivos móviles.",29.95,100
Kit de Maquillaje Profesional,"Kit completo de maquillaje profesional con paleta de sombras y brochas.",79.99,20
Cortadora de Cabello Profesional,"Cortadora de cabello profesional con múltiples peines y motor potente.",59.00,10
Lámpara de Escritorio LED,"Lámpara de escritorio LED con regulador de intensidad y puerto USB.",34.99,50
